name,salary
Tyler Kroft,"$6,250,000  "
Quandre Diggs,"$6,200,000  "
Star Lotulelei,"$6,200,000  "
Vince Williams,"$6,200,000  "
C.J. Uzomah,"$6,100,000  "
Micah Hyde,"$6,100,000  "
Darryl Roberts,"$6,000,000  "
Nick Boyle,"$6,000,000  "
Willie Snead,"$6,000,000  "
Denzel Perryman,"$6,000,000  "
Alejandro Villanueva,"$6,000,000  "
Mark Barron,"$6,000,000  "
A.J. Klein,"$6,000,000  "
Kenny Vaccaro,"$6,000,000  "
Chris Steveler,"$6,000,000  "
Quenton Nelson,"$5,972,227  "
Alex Okafor,"$5,966,667  "
Denico Autry,"$5,933,333  "
Brandon Carr,"$5,875,000  "
Jalen Ramsey,"$5,837,750  "
Devon Kennard,"$5,750,000  "
Josh Allen,"$5,685,660  "
Jesse James,"$5,650,000  "
Nick Easton,"$5,625,000  "
Jamal Adams,"$5,564,685  "
Buster Skrine,"$5,500,000  "
Laken Tomlinson,"$5,500,000  "
John Miller,"$5,500,000  "
Tyrod Taylor,"$5,500,000  "
William Gholston,"$5,500,000  "
Lane Taylor,"$5,500,000  "
Ryan Fitzpatrick,"$5,500,000  "
Mark Glowinski,"$5,400,000  "
Bobby Hart,"$5,383,333  "
Eric Rowe,"$5,383,333  "
Isaac Seumalo,"$5,306,000  "
Josh Allen,"$5,295,760  "
Brandon Mebane,"$5,275,000  "
Allen Bailey,"$5,250,000  "
James Carpenter,"$5,250,000  "
Kyle Juszczyk,"$5,250,000  "
Thomas Davis,"$5,250,000  "
Nickell Robey-Coleman,"$5,225,000  "
Duke Johnson,"$5,203,333  "
Josh Kline,"$5,166,667  "
Ronnie Stanley,"$5,121,083  "
Chuck Clark,"$5,100,000  "
Shawn Williams,"$5,046,250  "
A.J. Cann,"$5,018,333  "
Cordarrelle Patterson,"$5,000,000  "
Todd Davis,"$5,000,000  "
Mark Ingram,"$5,000,000  "
Justin Tucker,"$5,000,000  "
Jason McCourty,"$5,000,000  "
Danny Amendola,"$5,000,000  "
Ty Nsekhe,"$5,000,000  "
Patrick Robinson,"$5,000,000  "
Malcom Brown,"$5,000,000  "
Jesse Davis,"$5,000,000  "
T.J. Hockenson,"$4,955,306  "
Dion Lewis,"$4,950,000  "
Mike Williams,"$4,937,482  "
Jakeem Grant,"$4,925,000  "
Ed Oliver,"$4,891,289  "
Giovani Bernard,"$4,850,000  "
Ty Sambrailo,"$4,750,000  "
Robbie Gould,"$4,750,000  "
Devin Bush,"$4,717,941  "
Clay Matthews,"$4,625,000  "
Roquan Smith,"$4,619,292  "
Mike McGlinchey,"$4,585,430  "
DeForest Buckner,"$4,547,749  "
Bradley McDougald,"$4,500,000  "
Margus Hunt,"$4,500,000  "
J.R. Sweezy,"$4,500,000  "
Rhett Ellison,"$4,500,000  "
Jonah Williams,"$4,407,542  "
Josh Rosen,"$4,399,439  "
James Hurst,"$4,375,000  "
Christian McCaffrey,"$4,310,326  "
Mason Crosby,"$4,300,000  "
John Ross,"$4,278,966  "
Tevin Coleman,"$4,250,000  "
Johnathan Hankins,"$4,250,000  "
Duron Harmon,"$4,250,000  "
Stephen Gostkowski,"$4,250,000  "
Travis Benjamin,"$4,250,000  "
Graham Gano,"$4,250,000  "
Chris Boswell,"$4,201,500  "
Spencer Long,"$4,200,000  "
Shamar Stephen,"$4,150,000  "
Cameron Erving,"$4,139,610  "
Ramon Foster,"$4,125,000  "
Minkah Fitzpatrick,"$4,111,943  "
Patrick Mahomes,"$4,106,447  "
Harrison Butker,"$4,055,000  "
Wil Lutz,"$4,050,000  "
Anthony Chickillo,"$4,000,500  "
Angelo Blackson,"$4,000,000  "
Senio Kelemete,"$4,000,000  "
Brandon Dunn,"$4,000,000  "
Jeff Heuerman,"$4,000,000  "
Brian Hoyer,"$4,000,000  "
James White,"$4,000,000  "
Steven Hauschka,"$4,000,000  "
Corey Peters,"$4,000,000  "
Ryan Succop,"$4,000,000  "
Daniel Sorensen,"$4,000,000  "
Rashan Gary,"$3,969,328  "
Thomas Morstead,"$3,962,500  "
Leonard Floyd,"$3,945,715  "
Daniel Kilgore,"$3,926,667  "
Patrick Chung,"$3,900,000  "
Josh Lambo,"$3,875,000  "
Abry Jones,"$3,875,000  "
