,NAME,TFL,TFL_rank
142,Adarius Taylor,3.5,108.5
96,Travis Carrie,3.5,108.5
92,Mike Adams,3.5,108.5
17,John Johnson,3.5,108.5
27,Zach Cunningham,3.5,108.5
132,Shaquill Griffin,3.5,108.5
115,Marquel Lee,3.5,108.5
59,Reggie Ragland,3.0,119.0
124,Prince Amukamara,3.0,119.0
128,Elijah Lee,3.0,119.0
80,Quandre Diggs,3.0,119.0
10,Kiko Alonso,3.0,119.0
53,Kevin Byard,3.0,119.0
70,Minkah Fitzpatrick,3.0,119.0
46,Adrian Phillips,3.0,119.0
43,Jatavis Brown,3.0,119.0
2,Leighton Vander Esch,3.0,119.0
82,Lamarcus Joyner,3.0,119.0
164,Michael Thomas,2.5,131.0
168,Morris Claiborne,2.5,131.0
137,Bobby McCain,2.5,131.0
191,Bene' Benwikere,2.5,131.0
194,Rashaan Evans,2.5,131.0
150,Lawrence Guy,2.5,131.0
131,Joe Haden,2.5,131.0
139,Duke Riley,2.5,131.0
26,Myles Jack,2.5,131.0
125,Jaire Alexander,2.5,131.0
102,Adoree` Jackson,2.5,131.0
120,Byron Jones,2.5,131.0
75,Pierre Desir,2.5,131.0
117,Steven Nelson,2.0,147.5
109,Janoris Jenkins,2.0,147.5
51,Foyesade Oluokun,2.0,147.5
154,Justin Evans,2.0,147.5
101,Adrian Amos,2.0,147.5
172,Jonathan Jones,2.0,147.5
177,Gerald Hodges,2.0,147.5
149,BW Webb,2.0,147.5
56,Justin Reid,2.0,147.5
162,Johnathan Joseph,2.0,147.5
118,Eric Weddle,2.0,147.5
67,Kendall Fuller,2.0,147.5
184,Josh Jones,2.0,147.5
76,Tre Boston,2.0,147.5
188,Tashaun Gipson,2.0,147.5
189,Patrick Peterson,2.0,147.5
195,Nevin Lawson,2.0,147.5
126,Jalen Ramsey,2.0,147.5
63,Damarious Randall,2.0,147.5
23,Shawn Williams,2.0,147.5
95,Glover Quin,1.5,163.5
190,Tre'Davious White,1.5,163.5
64,Patrick Chung,1.5,163.5
129,Josh Norman,1.5,163.5
119,Darqueze Dennard,1.5,163.5
160,Micah Hyde,1.5,163.5
110,Jason McCourty,1.5,163.5
60,TJ McDonald,1.5,163.5
111,James Bradberry,1.5,163.5
55,Clayton Geathers,1.5,163.5
152,Marcus Williams,1.5,163.5
138,Jordan Evans,1.5,163.5
84,Ron Parker,1.0,175.5
89,Jahleel Addae,1.0,175.5
123,Desmond Trufant,1.0,175.5
79,Terrell Edmunds,1.0,175.5
143,Darian Stewart,1.0,175.5
69,Damontae Kazee,1.0,175.5
198,Deion Jones,1.0,175.5
147,Marshon Lattimore,1.0,175.5
174,Rashaan Melvin,1.0,175.5
156,Marcus Gilchrist,1.0,175.5
49,Ha'Sean Clinton-Dix,1.0,175.5
175,Corey Graham,1.0,175.5
178,Justin Coleman,0.5,183.5
159,Fabian Moreau,0.5,183.5
66,Devin McCourty,0.5,183.5
186,Tramon Williams,0.5,183.5
41,Justin Simmons,0.0,193.0
193,AJ Bouye,0.0,193.0
192,Ben Gedeon,0.0,193.0
91,Curtis Riley,0.0,193.0
170,Tedric Thompson,0.0,193.0
22,Jessie Bates III,0.0,193.0
93,Eli Apple,0.0,193.0
122,Tre Flowers,0.0,193.0
73,Sean Davis,0.0,193.0
182,Xavier Woods,0.0,193.0
181,Eric Murray,0.0,193.0
106,Chidobe Awuzie,0.0,193.0
179,Kyle Fuller,0.0,193.0
171,Briean Boddy-Calhoun,0.0,193.0
165,Hardy Nickerson Jr,0.0,193.0
