,NAME,SOLO,SOLO_rank
190,Artie Burns,46,156.5
162,Justin Houston,46,156.5
182,Quandre Diggs,45,161.5
177,Marcus Gilchrist,45,161.5
172,Jabrill Peppers,45,161.5
114,Elandon Roberts,45,161.5
113,Brad McDougald,45,161.5
155,Mike Hilton,45,161.5
95,James Burgess,45,161.5
148,Deforest Buckner,45,161.5
92,Martrell Spaight,44,167.5
145,Trey Flowers,44,167.5
80,Nick Vigil,44,167.5
178,Xavier Rhodes,44,167.5
146,Paul Posluszny,43,172.0
187,Tavon Wilson,43,172.0
186,Derrick Kindred,43,172.0
183,Kendall Fuller,43,172.0
140,Ray Ray Armstrong,43,172.0
176,Melvin Ingram,42,176.5
194,K'Waun Williams,42,176.5
149,Manti Te'o,42,176.5
181,Cory James,42,176.5
159,Jadeveon Clowney,41,180.0
152,Jurrell Casey,41,180.0
164,Zach Vigil,41,180.0
192,TJ Watt,40,182.0
195,Rodney McLeod,39,184.0
118,Linval Joseph,39,184.0
157,Nicholas Morrow,39,184.0
151,Shaq Thompson,38,188.5
136,Brock Coyle,38,188.5
165,Bruce Irvin,38,188.5
189,Michael Brockers,38,188.5
173,Jonathan Cyprien,38,188.5
191,Ricardo Allen,38,188.5
198,AJ Klein,37,193.0
199,Jaquiski Tartt,37,193.0
168,Deshazor Everett,37,193.0
160,Demarcus Lawrence,36,195.5
197,Mike Mitchell,36,195.5
171,Calvin Munson,35,197.5
166,Lawrence Guy,35,197.5
184,Grady Jarrett,34,199.0
180,Kenny Clark,33,200.0
