,NAME,TCKL,TCKL_rank
94,Kendell Beckwith,73,96.5
95,James Burgess,73,96.5
96,Kyle Van Noy,73,96.5
97,Kareem Jackson,72,101.0
98,Eddie Jackson,72,101.0
99,Marcus Williams,72,101.0
100,Hayes Pullard,74,93.0
101,Reuben Foster,72,101.0
102,Andre Hal,71,104.0
103,Derrick Johnson,72,101.0
104,John Johnson,70,107.0
105,Joey Bosa,70,107.0
106,Adoree` Jackson,70,107.0
107,Josh Jones,70,107.0
108,Lorenzo Alexander,70,107.0
109,Budda Baker,69,111.0
110,Mike Adams,69,111.0
111,Tre'Davious White,69,111.0
112,Jason Pierre-Paul,68,116.5
113,Brad McDougald,68,116.5
114,Elandon Roberts,68,116.5
115,Adrian Amos,68,116.5
116,Justin Simmons,68,116.5
117,Morgan Burnett,68,116.5
118,Linval Joseph,67,122.5
119,Calais Campbell,67,122.5
120,Kyle Fuller,67,122.5
121,Robert Alford,66,126.0
122,Jeff Heath,68,116.5
123,Eric Reid,66,126.0
124,Vontaze Burfict,68,116.5
125,Tyvon Branch,67,122.5
126,Ron Parker,66,126.0
127,Trumaine Johnson,65,129.0
128,Justin Evans,65,129.0
129,Jason McCourty,65,129.0
130,Tashaun Gipson,64,134.0
131,Trae Waynes,64,134.0
132,Daryl Worley,64,134.0
133,Jalen Mills,64,134.0
134,Josh Norman,64,134.0
135,Darian Stewart,63,140.0
136,Brock Coyle,64,134.0
137,Eric Weddle,63,140.0
138,Jalen Ramsey,63,140.0
139,Brian Poole,64,134.0
140,Ray Ray Armstrong,63,140.0
141,Buster Skrine,63,140.0
142,Cameron Jordan,62,144.0
143,Logan Ryan,62,144.0
144,Adrian Phillips,62,144.0
145,Trey Flowers,61,148.5
146,Paul Posluszny,61,148.5
147,Jamar Taylor,61,148.5
148,Deforest Buckner,61,148.5
149,Manti Te'o,61,148.5
150,Ryan Smith,61,148.5
151,Shaq Thompson,58,167.0
152,Jurrell Casey,60,155.0
153,Malcolm Butler,60,155.0
154,Darius Slay,60,155.0
155,Mike Hilton,60,155.0
156,Matt Judon,60,155.0
157,Nicholas Morrow,60,155.0
158,Kenny Vaccaro,60,155.0
159,Jadeveon Clowney,59,161.5
160,Demarcus Lawrence,59,161.5
161,Chandler Jones,59,161.5
162,Justin Houston,59,161.5
163,EJ Gaines,59,161.5
164,Zach Vigil,59,161.5
165,Bruce Irvin,58,167.0
166,Lawrence Guy,58,167.0
167,Shaquill Griffin,58,167.0
168,Deshazor Everett,58,167.0
169,Von Miller,57,172.0
170,Antoine Bethea,57,172.0
171,Calvin Munson,57,172.0
172,Jabrill Peppers,57,172.0
173,Jonathan Cyprien,57,172.0
174,AJ Bouye,56,178.5
175,Brandon Carr,56,178.5
176,Melvin Ingram,55,186.0
177,Marcus Gilchrist,56,178.5
178,Xavier Rhodes,56,178.5
179,Anthony Brown,56,178.5
180,Kenny Clark,56,178.5
181,Cory James,56,178.5
182,Quandre Diggs,55,186.0
183,Kendall Fuller,55,186.0
184,Grady Jarrett,55,186.0
185,Dre Kirkpatrick,55,186.0
186,Derrick Kindred,56,178.5
187,Tavon Wilson,55,186.0
188,Trevor Williams,55,186.0
189,Michael Brockers,54,194.5
190,Artie Burns,53,200.0
191,Ricardo Allen,54,194.5
192,TJ Watt,54,194.5
193,Jourdan Lewis,54,194.5
194,K'Waun Williams,54,194.5
195,Rodney McLeod,54,194.5
196,Ken Crawley,54,194.5
197,Mike Mitchell,54,194.5
198,AJ Klein,54,194.5
199,Jaquiski Tartt,54,194.5
