name,salary
Justin Bethel,"$5,000,000  "
Vernon Davis,"$5,000,000  "
Stacy McGee,"$5,000,000  "
Latavius Murray,"$5,000,000  "
Torrey Smith,"$5,000,000  "
Michael Johnson,"$5,000,000  "
Morris Claiborne,"$5,000,000  "
Ron Parker,"$5,000,000  "
Rishard Matthews,"$5,000,000  "
Mike Mitchell,"$5,000,000  "
Paul Posluszny,"$5,000,000  "
Sammy Watkins,"$4,983,901  "
Mike Williams,"$4,937,482  "
Adam Thielen,"$4,811,500  "
James Carpenter,"$4,775,000  "
William Hayes,"$4,750,000  "
Khalil Mack,"$4,669,250  "
Leonard Williams,"$4,657,717  "
Ezekiel Ansah,"$4,648,629  "
DeForest Buckner,"$4,547,749  "
Quintin Demps,"$4,500,000  "
D.J. Swearinger,"$4,500,000  "
John Simon,"$4,500,000  "
Darren Sproles,"$4,500,000  "
Brandon LaFell,"$4,500,000  "
Jermaine Kearse,"$4,500,000  "
C.J. Anderson,"$4,500,000  "
Derrick Shelby,"$4,500,000  "
Matt Schaub,"$4,500,000  "
Rhett Ellison,"$4,500,000  "
Brandon Mebane,"$4,500,000  "
Marshawn Lynch,"$4,500,000  "
Brooks Reed,"$4,400,000  "
Captain Munnerlyn,"$4,375,000  "
Ben Jones,"$4,375,000  "
Brent Celek,"$4,333,333  "
Christian McCaffrey,"$4,310,326  "
Stephen Gostkowski,"$4,300,000  "
John Ross,"$4,278,966  "
Antoine Bethea,"$4,250,000  "
Shawn Lauvao,"$4,250,000  "
DeAngelo Hall,"$4,250,000  "
Kevin Minter,"$4,250,000  "
Terrance Williams,"$4,250,000  "
Adrian Clayborn,"$4,250,000  "
Duron Harmon,"$4,250,000  "
Eddie Lacy,"$4,250,000  "
Koa Misi,"$4,250,000  "
Reggie Nelson,"$4,250,000  "
Cordarrelle Patterson,"$4,250,000  "
Alan Branch,"$4,225,000  "
Justin Tucker,"$4,200,000  "
Kevin White,"$4,140,762  "
Shane Vereen,"$4,116,667  "
Jake Matthews,"$4,107,375  "
Patrick Mahomes,"$4,106,447  "
Mason Crosby,"$4,025,000  "
Charles Johnson,"$4,000,000  "
Jerrell Freeman,"$4,000,000  "
Corey Peters,"$4,000,000  "
Zach Strief,"$4,000,000  "
Mark Ingram,"$4,000,000  "
Tyvon Branch,"$4,000,000  "
Elvis Dumervil,"$4,000,000  "
Earl Mitchell,"$4,000,000  "
Andrew Sendejo,"$4,000,000  "
Frank Gore,"$4,000,000  "
T.J. Ward,"$4,000,000  "
Matt Forte,"$4,000,000  "
Daniel Sorensen,"$4,000,000  "
Tahir Whitehead,"$4,000,000  "
Chris Hogan,"$4,000,000  "
Levine Toilolo,"$4,000,000  "
James White,"$4,000,000  "
Eric Decker,"$4,000,000  "
Seth Roberts,"$4,000,000  "
Marcedes Lewis,"$4,000,000  "
Jack Conklin,"$3,974,415  "
Leonard Floyd,"$3,945,715  "
Malcolm Butler,"$3,910,000  "
Kayvon Webster,"$3,875,000  "
Abry Jones,"$3,875,000  "
Theo Riddick,"$3,850,000  "
Marshon Lattimore,"$3,839,891  "
Lawrence Guy,"$3,825,000  "
Orlando Scandrick,"$3,800,000  "
Matt Prater,"$3,800,000  "
Eli Apple,"$3,788,080  "
Sebastian Janikowski,"$3,775,000  "
Brandon McManus,"$3,751,333  "
Brian Robison,"$3,750,000  "
Bilal Powell,"$3,750,000  "
Dustin Colquitt,"$3,750,000  "
Domata Peko,"$3,750,000  "
D.J. Hayden,"$3,750,000  "
Harry Douglas,"$3,750,000  "
Jarius Wright,"$3,700,000  "
Ted Ginn Jr.,"$3,666,667  "
Mike Evans,"$3,657,876  "
Thomas Morstead,"$3,647,500  "
Vic Beasley,"$3,623,807  "
Ereck Flowers,"$3,597,930  "
Evan Smith,"$3,562,500  "
Vernon Hargreaves,"$3,544,415  "
Chris Thompson,"$3,503,400  "
Benjamin Watson,"$3,500,000  "
Julius Peppers,"$3,500,000  "
Adrian Peterson,"$3,500,000  "
Nigel Bradham,"$3,500,000  "
Connor Barwin,"$3,500,000  "
Steve McLendon,"$3,500,000  "
Vincent Rey,"$3,500,000  "
Johnny Hekker,"$3,500,000  "
Wesley Woodyard,"$3,500,000  "
Dwayne Harris,"$3,500,000  "
Ahmad Brooks,"$3,500,000  "
Deshaun Watson,"$3,463,570  "
Todd Gurley,"$3,455,796  "
Cole Beasley,"$3,401,500  "
Sam Martin,"$3,400,069  "
Bryan Anger,"$3,400,000  "
Nate Allen,"$3,400,000  "
Haason Reddick,"$3,369,492  "
Derek Newton,"$3,333,333  "
Russell Shepard,"$3,333,333  "
John Jerry,"$3,333,333  "
Marquette King,"$3,300,000  "
Sam Koch,"$3,250,000  "
Drew Stanton,"$3,250,000  "
Zane Beadles,"$3,250,000  "
Terence Newman,"$3,250,000  "
Andre Smith,"$3,250,000  "
Jordan Poyer,"$3,250,000  "
Chad Henne,"$3,250,000  "
Trae Waynes,"$3,236,092  "
Dan Bailey,"$3,214,286  "
Derek Barnett,"$3,212,693  "
Sheldon Rankins,"$3,200,412  "
Mike Gillislee,"$3,200,000  "
Ramon Foster,"$3,200,000  "
Anthony Barr,"$3,185,875  "
Rex Burkhead,"$3,150,000  "
Malik Hooker,"$3,149,977  "
Laremy Tunsil,"$3,114,413  "
Graham Gano,"$3,100,000  "
Eric Ebron,"$3,062,287  "
Shea McClellin,"$3,016,667  "
Ryan Griffin,"$3,000,000  "
Chris Clark,"$3,000,000  "
Marcus Gilchrist,"$3,000,000  "
Phil Dawson,"$3,000,000  "
Marquise Goodwin,"$3,000,000  "
Colt McCoy,"$3,000,000  "
Darius Butler,"$3,000,000  "
Adam Vinatieri,"$3,000,000  "
Ryan Fitzpatrick,"$3,000,000  "
Jason McCourty,"$3,000,000  "
Clinton McDonald,"$3,000,000  "
Paul Worrilow,"$3,000,000  "
Akeem Spence,"$3,000,000  "
David Andrews,"$3,000,000  "
D.J. Fluker,"$3,000,000  "
Brett Kern,"$3,000,000  "
Keenan Robinson,"$3,000,000  "
Jermon Bushrod,"$3,000,000  "
Tyson Alualu,"$3,000,000  "
Lorenzo Alexander,"$2,975,000  "
Karl Joseph,"$2,971,079  "
Marlon Humphrey,"$2,961,870  "
K'Waun Williams,"$2,950,000  "
Steven Hauschka,"$2,950,000  "
Danny Woodhead,"$2,933,333  "
Jack Crawford,"$2,933,333  "
Danny Shelton,"$2,925,917  "
Cornelius Washington,"$2,912,500  "
Josh Mauro,"$2,900,000  "
Jonathan Allen,"$2,899,094  "
Taylor Lewan,"$2,871,251  "
Andrus Peat,"$2,848,374  "
Matt Bryant,"$2,833,333  "
Adoree' Jackson,"$2,820,696  "
Corey Coleman,"$2,801,249  "
Davon House,"$2,800,000  "
Britton Colquitt,"$2,800,000  "
Kevin Huber,"$2,800,000  "
Virgil Green,"$2,800,000  "
O.J. Howard,"$2,773,655  "
Garett Bolles,"$2,757,976  "
Breno Giacomini,"$2,750,000  "
Zach Miller,"$2,750,000  "
Emmanuel Lamur,"$2,750,000  "
Joe Hawley,"$2,750,000  "
James Hanna,"$2,750,000  "
Benson Mayowa,"$2,750,000  "
Erik Walden,"$2,750,000  "
