
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Maxx Williams",77,"BAL","11","18","15","1.6","86",0,"44.9","1","17","1","1"
"James O'Shaughnessy",77,"JAX","16","24","14","1.5","149",0,"112.3","1","29",0,0
"Daniel Brown",64,"CHI","14","20","13","1.4","129",0,"70.2",0,"17",0,0
"Ryan O'Malley",64,"NYG","1",0,0,0,0,0,0,0,0,0,0
"Stephen Anderson",64,"HOU","15","52","25","3.5","342",0,"161.8","1","42",0,0
"Blake Bell",63,"MIN","13","4","3","0.3","19",0,"15.5",0,"12",0,0
"Kyle Carter",63,"MIN","3",0,0,0,0,0,0,0,0,0,0
"Randall Telfer",63,"CLE","16","4","3","0.2","36",0,"36",0,"20",0,0
"CJ Uzomah",80,"CIN","14","15","10","1.1","92",0,"74","1","21",0,0
"Logan Thomas",62,"BUF","12","9","7","0.8","67",0,"49.5","1","22",0,0
"Gabe Holmes",62,"ARI","2","1",0,"0.5",0,0,0,0,0,0,0
"Chris Manhertz",75,"CAR","14","4","2","0.3","17",0,"17",0,"11",0,0
"Ben Braunecker",61,"CHI","8",0,0,0,0,0,0,0,0,0,0
"Henry Krieger-Coble",61,"IND","1",0,0,0,0,0,0,0,0,0,0
"Cole Hikutini",60,"SF","4","3","2","0.8","15",0,"15",0,"10",0,0
"Darrell Daniels",60,"IND","12","13","3","1.1","26",0,"26",0,"13",0,0
"Antony Auclair",60,"TB","8","2","2","0.2","25",0,"25",0,"14",0,0
"Austin Traylor",60,"DEN","7","13","8","1.9","100",0,"65",0,"34",0,0
"Ross Travis",60,"IND","15","17","7","1.1","76",0,"46.5",0,"20","1",0
"Hakeem Valles",60,"DET","1",0,0,0,0,0,0,0,0,0,0
"Ricky Seals-Jones",74,"ARI","9","28","12","3.1","201",0,"83.5","3","29",0,0
"Sean Culkin",60,"LAC","1",0,0,0,0,0,0,0,0,0,0
"Jacob Hollister",69,"NE","15","11","4","0.7","42",0,"42",0,"19",0,0
    
