
      NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Fred Brown",69,"DEN","13","3","2","0.2","21",0,"10.5",0,"16","1",0
"Steven Mitchell Jr.",66,"HOU","2","6","2","3","37",0,"18.5",0,"21",0,0
"Isaiah McKenzie",69,"BUF","14","39","27","2.8","254",0,"9.4","1","46",0,0
"Andre Patton",67,"LAC","12","17","6","1.4","56",0,"9.3",0,"15",0,0
"Davion Davis",72,"MIN","1",0,0,0,0,0,0,0,0,0,0
"Antonio Callaway",73,"CLE","4","15","8","3.8","89",0,"11.1",0,"41",0,0
"Stanley Morgan Jr.",74,"CIN","11","10","3","0.9","18",0,"6",0,"9",0,0
"Christian Blake",67,"ATL","9","24","11","2.7","91",0,"8.3",0,"13",0,0
"Jordan Matthews",73,"SF","3","12","4","4","33",0,"8.2",0,"10",0,0
"John Franklin",66,"TB","1",0,0,0,0,0,0,0,0,0,0
"Greg Ward","","PHI","6","40","28","6.7","254",0,"9.1","1","38",0,0
"Deontay Burnett",69,"PHI","1","4","2","4","48",0,"24",0,"41",0,0
"Spencer Schnell",75,"TB","1",0,0,0,0,0,0,0,0,0,0
"Cody Hollister",67,"TEN","5","2","2","0.4","13",0,"6.5",0,"11",0,0
"Cedrick Wilson",66,"DAL","6","8","5","1.3","46",0,"9.2",0,"14",0,0
"Duke Williams",74,"BUF","4","19","12","4.8","166","1","13.8","1","41",0,0
"Josh Malone",66,"NYJ","2",0,0,0,0,0,0,0,0,0,0
"Lil'jordan Humphrey",72,"NO","5","1",0,"0.2",0,0,0,0,0,0,0
"TJ Jones",76,"NYG","3","4","3","1.3","38",0,"12.7","1","28","3",0
"River Cracraft",68,"DEN","1",0,0,0,0,0,0,0,0,0,0
"Alexander Hollins",77,"MIN","4","4","2","1","46",0,"23",0,"35",0,0
"Deandrew White",66,"CAR","10","9","4","0.9","51",0,"12.8",0,"18",0,0
"Laquon Treadwell",71,"MIN","13","16","9","1.2","184",0,"20.4","1","58",0,0
"Jester Weah",69,"WAS","1",0,0,0,0,0,0,0,0,0,0
"Rico Gafford",66,"OAK","4","2","2","0.5","66",0,"33","1","49",0,0
"Cam Sims",67,"WAS","7","3","2","0.4","27",0,"13.5",0,"15",0,0
"Chris Lacy",67,"DET","5","10","3","2","60",0,"20",0,"48",0,0
"Ishmael Hyman",77,"TB","2","4","2","2","34",0,"17",0,"31",0,0
"Marcell Ateman",68,"OAK","11","10","5","0.9","116",0,"23.2",0,"36","1","1"
"Khalif Raymond",65,"TEN","8","12","9","1.5","170",0,"18.9","1","52","1","1"
"Antonio Brown",99,"NE","1","8","4","8","56",0,"14","1","20",0,0
"Odell Beckham Jr",97,"CLE","16","133","74","8.3","1,035","2","14","4","89","1","1"
"DeAndre Hopkins",97,"HOU","15","150","104","10","1,165","5","11.2","7","43",0,0
"Julio Jones",97,"ATL","15","156","99","10.4","1,394","6","14.1","6","54","1",0
"Keenan Allen",94,"LAC","16","149","104","9.3","1,199","2","11.5","6","45",0,0
"Davante Adams",94,"GB","12","127","83","10.6","997","5","12","5","58","2","1"
"Michael Thomas",94,"NO","16","185","149","11.6","1,725","10","11.6","9","49","1",0
"Tyreek Hill",93,"KC","12","89","58","7.4","860","2","14.8","7","57",0,0
"Mike Evans",93,"TB","13","118","67","9.1","1,157","3","17.3","8","67",0,0
"Adam Thielen",93,"MIN","10","48","30","4.8","418","1","13.9","6","44",0,0
"Stefon Diggs",92,"MIN","15","94","63","6.3","1,130","5","17.9","6","66","4","3"
"T.Y. Hilton",92,"IND","10","69","45","6.9","501",0,"11.1","5","35",0,0
"Julian Edelman",90,"NE","16","154","100","9.6","1,117","3","11.2","6","44","3","1"
"Emmanuel Sanders",89,"SF","17","97","66","5.7","869","3","13.2","5","75",0,0
"JuJu Smith-Schuster",89,"PIT","12","72","42","6","552","1","13.1","3","76","1","1"
"Brandin Cooks",89,"LAR","13","68","40","5.2","551","1","13.8","2","57",0,0
"Alshon Jeffery",88,"PHI","10","73","43","7.3","490","1","11.4","4","38",0,0
"Marvin Jones",88,"DET","13","92","62","7.1","779","2","12.6","9","47",0,0
"Robert Woods",88,"LAR","14","131","84","9.4","1,037","3","12.3","2","48",0,0
"Amari Cooper",87,"DAL","16","119","79","7.4","1,189","4","15.1","8","53",0,0
"DeSean Jackson",87,"PHI","3","10","9","3.3","159","1","17.7","2","53",0,0
"Cooper Kupp",86,"LAR","15","124","88","8.3","1,126","5","12.8","10","66","3",0
"Tyler Lockett",86,"SEA","16","110","82","6.9","1,057","4","12.9","8","44","1",0
"Josh Gordon",85,"SEA","11","47","27","4.3","426",0,"15.8","1","58",0,0
"Marquise Goodwin",85,"SF","9","21","12","2.3","186",0,"15.5","1","38",0,0
"Larry Fitzgerald",85,"ARI","16","109","75","6.8","804","2","10.7","4","54","1","1"
"Allen Robinson",85,"CHI","16","153","98","9.6","1,147","3","11.7","7","49",0,0
"Tyler Boyd",84,"CIN","16","147","90","9.2","1,046","4","11.6","5","47","2","2"
"Cole Beasley",84,"BUF","15","104","67","6.9","778","2","11.6","6","51",0,0
"Kenny Golladay",84,"DET","16","116","65","7.2","1,190","5","18.3","11","75","1","1"
"Sterling Shepard",83,"NYG","10","85","57","8.5","576","2","10.1","3","36",0,0
"Chris Godwin",83,"TB","14","119","86","8.5","1,333","6","15.5","9","71",0,0
"Mike Williams",83,"LAC","15","90","49","6","1,001","2","20.4","2","56",0,0
"Taylor Gabriel",83,"CHI","9","48","29","5.3","353",0,"12.2","4","53",0,0
"Randall Cobb",82,"DAL","15","83","55","5.5","828","2","15.1","3","59","2","1"
