
      NAME,RTG,TEAM,GP,TCKL,SOLO,AST,TFL,SCK,SCK YDS,QBH,PASS DEF,FF,FUMR,FUMR YDS,FUMR TD,INT,INT YDS,INT TD
"Anthony Walker",78,"IND","15","104","70","34","10","1","6","2","4",0,"1","-1",0,"1","11",0
"Jamie Collins",75,"CLE","16","105","74","31","14.5","4","17","7","4","1","1",0,0,"1",0,0
"Joe Schobert",78,"CLE","13","104","57","47","6","3","18","6","6","2","2","26",0,"1",0,0
"Danny Trevathan",82,"CHI","16","103","78","25","8","2","6","4","5","1","1",0,0,"2","12",0
"Budda Baker",78,"ARI","14","105","80","25","12","2","20.5","3","2","1","2","34","1",0,0,0
"Jordan Poyer",82,"BUF","16","101","74","27","7.5","2","15","3","6","1","1",0,0,"4","11",0
"Jarrad Davis",70,"DET","16","100","73","27","10","6","45","10","5","1","1","20",0,0,0,0
"Malcolm Jenkins",94,"PHI","16","98","79","19","5.5","1","6","1","8","3","1","11",0,"1","25",0
"Zach Brown",84,"WAS","16","100","69","31","10.5","1","5","2","1","2",0,0,0,0,0,0
"Justin Simmons",78,"DEN","16","96","70","26",0,0,0,0,"4",0,0,0,0,"3","8",0
"Jayon Brown",77,"TEN","16","98","64","34","11","6","30.5","10","6","2","1","7",0,"1","22","1"
"Jatavis Brown",73,"LAC","15","97","62","35","3","1","8","1","5","1",0,0,0,0,0,0
"Nigel Bradham",76,"PHI","15","97","67","30","4.5","2","9","4","4",0,"1",0,0,0,0,0
"Landon Collins",85,"NYG","12","96","68","28","6",0,0,"2","4","1",0,0,0,0,0,0
"Adrian Phillips",79,"LAC","16","94","65","29","3",0,0,"1","10","1",0,0,0,"1",0,0
"De'Vondre Campbell",77,"ATL","16","93","63","30","4","1.5","11","2",0,0,0,0,0,0,0,0
"Alec Ogletree",75,"NYG","13","93","58","35","7.5","1","8","4","8",0,0,0,0,"5","61","2"
"Ha'Sean Clinton-Dix",79,"WAS","16","92","80","12","1","1","5","2","6","2","1",0,0,"3","25",0
"Kyle Van Noy",79,"NE","16","92","56","36","8","3.5","34","9","2","1","2","46","1","1",0,0
"Foyesade Oluokun",69,"ATL","16","90","57","33","2",0,0,"2","1",0,0,0,0,0,0,0
"Jordan Hicks",79,"PHI","12","89","60","29","5","3","22","6","5",0,"1","13",0,0,0,0
"Kevin Byard",90,"TEN","16","89","62","27","3","2","18","5","8",0,0,0,0,"4","1",0
"Tyrann Mathieu",89,"HOU","16","89","70","19","5.5","3","20","4","8",0,"1","1",0,"2","2",0
"Clayton Geathers",80,"IND","12","89","61","28","1.5",0,0,"2","3","1",0,0,0,0,0,0
"Justin Reid",82,"HOU","16","87","69","18","2",0,0,"1","10","1","2","1",0,"3","128","1"
"Vonn Bell",77,"NO","16","88","62","26","5","1","9","3","4","1","1",0,0,0,0,0
"Kareem Jackson",87,"HOU","16","86","70","16","5","1","7","1","17","2","1",0,0,"2","24",0
"Reggie Ragland",71,"KC","16","85","48","37","3","0.5",0,"1","1",0,0,0,0,"1","67",0
