
      NAME,RTG,TEAM,GP,ATT,YDS,YDS/ATT,ATT/G,100+ YDS,TD,LONG,FUM,FUML
"Matt Jones",73,"IND","5","5","14","5.8","1",0,0,"5",0,0
"Kenjon Barner",72,"PHI","13","16","57","20.5","1.2",0,"1","18","3",0
"Brian Hill",73,"CIN","7","11","37","10.6","1.6",0,0,"11",0,0
"Brandon Bolden",73,"NE","16","13","67","15.6","0.8",0,0,"20",0,0
"Javorius Allen",74,"BAL","16","153","591","61.8","9.6",0,"4","37",0,0
"Taiwan Jones",75,"BUF","8",0,0,0,0,0,0,0,0,0
"Orleans Darkwa",73,"NYG","15","171","751","62.8","11.4","2","5","75","1",0
"Darren McFadden",75,"DAL","1","1","-2","-2","1",0,0,0,0,0
"JD McKissic",75,"SEA","13","46","187","42.8","3.5",0,"1","30",0,0
"Bobby Rainey",76,"BAL","4","1","2","2","0.2",0,0,"2",0,0
"Zach Zenner",75,"DET","8","14","26","15.4","1.8",0,"1","14",0,0
"Alex Collins",79,"BAL","15","212","973","72.5","14.1","2","6","50","4","2"
"Kenyan Drake",78,"MIA","16","133","644","53.4","8.3","2","3","66","2","2"
"Travaris Cadet",72,"BUF","9","23","96","25.4","2.6",0,0,"12",0,0
"D'Onta Foreman",77,"HOU","10","78","327","39.8","7.8",0,"2","39","2","1"
"James Conner",84,"PIT","14","32","144","61.3","2.3",0,0,"23",0,0
"Tarik Cohen",83,"CHI","16","87","370","49.5","5.4",0,"2","46","3","2"
"Andre Ellington",71,"HOU","12","20","55","13.5","1.7",0,"1","14",0,0
"CJ Spiller",77,"KC","1","2",0,0,"2",0,0,"1",0,0
"Corey Clement",73,"PHI","16","74","321","58.3","4.6",0,"4","28",0,0
"Joe Banyard",71,"BUF","3",0,0,0,0,0,0,0,0,0
"Wayne Gallman",72,"NYG","13","111","476","55.4","8.5",0,0,"24","3","1"
"Benjamin Cunningham",72,"CHI","14","9","29","8.2","0.6",0,0,"12","1","1"
"Devontae Booker",73,"DEN","13","79","299","50.6","6.1",0,"1","26","1","1"
"Andre Williams",71,"LAC","8","9","25","4.3","1.1",0,0,"7",0,0
"Bronson Hill",70,"ARI","2","1","-2","-2","0.5",0,0,0,0,0
"Jamaal Williams",77,"GB","16","153","556","47.3","9.6","1","4","25",0,0
"Elijah McGuire",70,"NYJ","16","88","315","42.1","5.5",0,"1","69","2","2"
"Roosevelt Nix",79,"PIT","16","3",0,"0.5","0.2",0,"1","1",0,0
"Austin Ekeler",80,"LAC","16","47","260","82.3","2.9",0,"2","35","2","2"
"Jeremy McNichols",69,"SF","2",0,0,0,0,0,0,0,0,0
"Jordan Todman",69,"HOU","14",0,0,0,0,0,0,0,0,0
"Terrence Magee",69,"ATL","2",0,0,0,0,0,0,0,0,0
"Cameron Artis-Payne",69,"CAR","13","18","95","17.9","1.4",0,"1","43",0,0
"Fozzy Whittaker",68,"CAR","12","7","18","12","0.6",0,0,"8",0,0
"Dare Ogunbowale",68,"WAS","2",0,0,0,0,0,0,0,0,0
"Elijah Hood",68,"OAK","1",0,0,0,0,0,0,0,0,0
"Nick Bellore",68,"DET","13",0,0,0,0,0,0,0,0,0
"Kapri Bibbs",68,"WAS","3","21","79","10.6","7",0,0,"16",0,0
"Akeem Hunt",68,"KC","15","8","23","4.2","0.5",0,0,"11",0,0
"Malcolm Brown",73,"LAR","11","63","246","33.6","5.7",0,"1","20","1",0
"Fitzgerald Toussaint",67,"PIT","6","6","25","7.4","1",0,0,"7",0,0
"De'Angelo Henderson",67,"DEN","5","7","13","1","1.4",0,0,"5",0,0
"Terron Ward",67,"ATL","14","30","129","17.8","2.1",0,0,"17","1","1"
"Corey Grant",77,"JAX","16","30","248","98.7","1.9",0,"2","58","1","1"
"Tre Madden",67,"SEA","8",0,0,0,0,0,0,0,0,0
"Matt Dayes",67,"CLE","16","5","13","8.3","0.3",0,0,"4",0,0
"Dwayne Washington",67,"DET","5","20","44","8.9","4",0,0,"6",0,0
"De'Veon Smith",66,"MIA","5",0,0,0,0,0,0,0,0,0
"Marcus Murphy",72,"BUF","1","7","41","5.9","7",0,0,"25",0,0
"Leshun Daniels Jr.",66,"WAS","4","3","14","8","0.8",0,0,"8",0,0
"Jarveon Williams",65,"CIN","1",0,0,0,0,0,0,0,0,0
"Justin Davis",65,"LAR","4","1","1","1","0.2",0,0,"1",0,0
"Stevan Ridley",65,"PIT","2","26","108","7.8","13",0,"1","21",0,0
"Chris Carson",88,"SEA","4","49","208","17.7","12.2",0,0,"30",0,0
"Byron Marshall",65,"WAS","4","9","32","9.5","2.2",0,0,"11",0,0
"Rod Smith",65,"DAL","15","55","232","39.7","3.7",0,"4","45",0,0
"Daniel Lasco",64,"NO","3",0,0,0,0,0,0,0,0,0
"Mack Brown",64,"MIN","4","8","29","5.5","2",0,0,"11",0,0
"Devante Mays",64,"GB","8","4","1","1.7","0.5",0,0,"2","2","1"
"Raheem Mostert",73,"SF","11","6","30","21.8","0.5",0,0,"16","1","1"
"David Fluellen",64,"TEN","16","4","21","9","0.2",0,0,"10",0,0
"CJ Ham",70,"MIN","16","7","13","7.7","0.4",0,"1","3",0,0
"Senorise Perry",63,"MIA","16","8","30","7.1","0.5",0,0,"12",0,0
"Lawrence Thomas",63,"NYJ","14","2","1","1","0.1",0,0,"1",0,0
"Peyton Barber",75,"TB","16","108","423","30.6","6.8","1","3","34","2","1"
"Tyler Ervin",62,"HOU","4","4","12","6.7","1",0,0,"6",0,0
"Elijhaa Penny",62,"ARI","16","31","124","20.9","1.9",0,"2","14",0,0
"Alex Armah",62,"CAR","9",0,0,0,0,0,0,0,0,0
"Taquan Mizzell",62,"CHI","3",0,0,0,0,0,0,0,0,0
"Terrell Watson",61,"PIT","10","5","8","8","0.5",0,0,"3",0,0
"Tion Green",61,"DET","5","42","165","19.5","8.4",0,"2","33",0,0
"Trey Edmunds",60,"NO","16","9","48","5.3","0.6",0,"1","41",0,0
"DJ Foster",60,"ARI","7","6","19","13","0.9",0,0,"5",0,0
"Josh Ferguson",59,"IND","10","1","5","5","0.1",0,0,"5",0,0
    
