
      NAME,RTG,TEAM,GP,TCKL,SOLO,AST,TFL,SCK,SCK YDS,QBH,PASS DEF,FF,FUMR,FUMR YDS,FUMR TD,INT,INT YDS,INT TD
"Tracy Walker",73,"DET","13","103","83","20","6",0,0,0,"8","1",0,0,0,"1",0,0
"Matt Milano",75,"BUF","15","100","65","35","9.5","1.5","12.5","7","8","1","1",0,0,0,0,0
"Benardrick McKinney",85,"HOU","14","102","53","49","5.5","1","4.5","4","3","1","2",0,0,0,0,0
"Taylor Rapp",75,"LAR","14","90","56","34","4.5",0,0,0,"7",0,"1",0,0,"2","54","1"
"Roquan Smith",83,"CHI","12","98","66","32","5","2","21","2","2",0,0,0,0,"1",0,0
"Jessie Bates III",79,"CIN","16","100","71","29","0.5",0,0,0,"9",0,"1",0,0,"3","33",0
"Tavon Wilson",75,"DET","16","97","69","28","4","1","2","2","4",0,"2","14",0,0,0,0
"Alexander Johnson","","DEN","11","82","45","37","6","1.5","3.5","4","1","2","1",0,0,0,0,0
"Justin Simmons",78,"DEN","16","91","64","27","2.5",0,0,0,"15",0,0,0,0,"4","30",0
"Dre Greenlaw",77,"SF","16","92","64","28","3","1","19","2","2",0,0,0,0,"1","47",0
"Devin White",76,"TB","13","90","59","31","4.5","2.5","24","5","3","3","4","121","2","1","5",0
"Vonn Bell",77,"NO","13","88","66","22","6","1.5","14","4","6","2","5","38","1","1","19",0
"Anthony Hitchens",79,"KC","15","88","50","38","6","2","31","4","1","1",0,0,0,0,0,0
"Sean Lee",82,"DAL","16","86","55","31","4.5","1","12","1","4",0,0,0,0,"1","25",0
"Ricardo Allen",79,"ATL","16","85","54","31","5",0,0,0,"8",0,0,0,0,"2","29",0
"Harrison Smith",95,"MIN","15","85","65","20","5","1","14","2","11","3","2",0,0,"3","13",0
"Adrian Amos",88,"GB","16","84","68","16","4.5","1","4","2","8",0,0,0,0,"2","12",0
"Kenny Vaccaro",82,"TEN","16","84","51","33","3","1","6","6","5",0,0,0,0,"1","2",0
"Kevin Byard",90,"TEN","16","85","60","25","2",0,0,0,"9",0,0,0,0,"5","79",0
"Cameron Heyward",84,"PIT","16","82","51","31","14","9","56","22","6","1","1",0,0,0,0,0
"David Mayo",65,"NYG","16","82","52","30","6.5","2","8.5","3","2",0,"1",0,0,0,0,0
"Kyle Fuller",91,"CHI","16","83","73","10","1",0,0,0,"12",0,0,0,0,"3","37",0
"Jamie Collins",75,"NE","16","83","58","25","14","7","54.5","11","7","3","1",0,0,"3","85","1"
"Mack Wilson",77,"CLE","16","83","57","26","5","1","8","2","7",0,0,0,0,"1","21",0
"Mark Barron",70,"PIT","15","81","58","23","5","3","21","4","3",0,"1","17",0,"1",0,0
"Tre Flowers",80,"SEA","15","82","65","17","2","2","11","2","8","1","1",0,0,"3",0,0
"Damien Wilson",71,"KC","16","83","55","28","4.5","1.5","9.5","4","1","1",0,0,0,0,0,0
"Eric Rowe",70,"MIA","16","81","54","27","1",0,0,0,"8","1",0,0,0,"1","35","1"
"Malcolm Jenkins",94,"PHI","16","81","63","18","9","2.5","19","9","8","3","1",0,0,0,0,0
"Alec Ogletree",75,"NYG","13","79","48","31","6","1","4","3","6",0,0,0,0,"1",0,0
"James Burgess",66,"NYJ","10","82","52","30","9","1","9.5","1","5","1","1","-4",0,"1","2",0
"Jarrod Wilson",61,"JAX","16","79","57","22","5.5",0,0,"2","4","1",0,0,0,"2","4",0
"Chidobe Awuzie",78,"DAL","16","79","48","31","1",0,0,"1","14",0,"1",0,0,"1",0,0
"Anthony Barr",81,"MIN","14","79","54","25","7","1.5","13","7","4","1","1","19",0,"1","2",0
"Byron Murphy",77,"ARI","16","78","66","12","2",0,0,0,"10",0,0,0,0,"1",0,0
"Ha'Sean Clinton-Dix",79,"CHI","16","77","62","15","0.5",0,0,0,"5",0,"2","1",0,"2","96","1"
"Nathan Gerry",70,"PHI","16","78","52","26","6","2.5","12","5","5",0,"1",0,0,"2","51","1"
"Justin Reid",82,"HOU","15","78","57","21","1.5",0,0,"1","5",0,"1",0,0,"2","55",0
"Rodney McLeod",77,"PHI","16","76","46","30","0.5","1",0,"1","6","2",0,0,0,"2","30",0
"Xavier Woods",75,"DAL","15","77","52","25","1.5",0,0,0,"5","2","1","9",0,"2","38",0
"Nick Kwiatkoski",74,"CHI","16","75","57","18","8","3","24","3","4","1",0,0,0,"1","4",0
"Levi Wallace",75,"BUF","16","76","66","10","4",0,0,0,"9",0,0,0,0,"2","2",0
"Germaine Pratt",77,"CIN","16","76","50","26","3.5",0,0,0,0,0,0,0,0,0,0,0
"Haason Reddick",75,"ARI","16","75","44","31","6.5","1",0,"4","6",0,"1","3",0,0,0,0
"Sam Hubbard",72,"CIN","15","75","47","28","10.5","8.5","56.5","14","3","1",0,0,0,0,0,0
"Jabrill Peppers",83,"NYG","11","76","51","25","6",0,"2.5","2","5","3",0,0,0,"1","32","1"
"Tyrann Mathieu",89,"KC","16","76","64","12","3.5","2","14","2","13",0,0,0,0,"4","70",0
"Drue Tranquill",72,"LAC","15","75","60","15","4",0,0,0,"1",0,0,0,0,0,0,0
"Jamal Adams",91,"NYJ","14","76","62","14","13.5","6.5","46.5","12","7","2","1","25","1","1","61","1"
"Neville Hewitt",71,"NYJ","12","74","45","29","6","3","18","8","5",0,0,0,0,"2","13",0
"Erik Harris",63,"OAK","16","71","63","8","1",0,0,0,"9",0,0,0,0,"3","145","2"
"Charvarius Ward",67,"KC","16","75","56","19",0,0,0,0,"11","1",0,0,0,"2","10",0
"Damontae Kazee",77,"ATL","16","74","46","28","2",0,0,0,"4","1",0,0,0,"3","53",0
"Davon Godchaux",73,"MIA","16","70","33","37","5","2","9.5","5","1",0,0,0,0,0,0,0
"Chuck Clark",63,"BAL","15","69","42","27","3.5","1","8","3","10","2",0,0,0,"1","12",0
"Nicholas Morrow",71,"OAK","16","73","53","20","4",0,0,"4","3",0,0,0,0,"1","11",0
"Markus Golden",69,"NYG","16","72","39","33","17.5","10.5","72.5","27",0,0,"1","42","1",0,0,0
"Micah Hyde",87,"BUF","16","72","50","22","1.5",0,0,"1","2","2","1","31",0,"1",0,0
"Raekwon McMillan",76,"MIA","13","70","36","34","2",0,0,"2","1",0,0,0,0,0,0,0
"Leighton Vander Esch",84,"DAL","9","72","43","29","4","0.5","2","2","3","1",0,0,0,0,0,0
